del;del_nom;gou;gou_nom;reg;reg_nom;zon;zon_nom;cap_gou;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS2142;Sakiet Ezzit;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;72481;68511;20266;8514;4330;79735;96,65;0,478
TS2143;Sakiet Edda•er;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;98988;94892;27219;12881;3571;115214;113,3;0,465
TS2144;Sfax Sud;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;101904;74655;27426;8331;7176;114664;197,73;0,449
TS2145;Tina;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;45647;26635;11627;7410;1442;58029;89,4;0,441
TS2146;Agareb;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;35841;9610;8625;1256;1442;38158;737,07;0,292
TS2147;Djebeniana;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;44029;6576;10751;898;2000;47198;256,17;0,3
TS2148;El Amra;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;28723;0;7116;973;604;29939;183,09;0,3
TS2149;El Hencha;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;43170;6277;9826;836;1718;44761;529,32;0,253
TS214A;Menzel Chaker;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;34119;2212;8261;762;2334;34300;1563,7;0,332
TS214B;Ghraiba;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;14647;2570;3236;319;715;14802;434,38;0,176
TS214C;Bir ali Ben Kelifa;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;50059;4460;11368;1024;3605;50138;1205,85;0,186
TS214D;Skhira;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;29616;8627;5459;739;1470;30705;904,03;0,246
TS214E;Mahres;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;30676;14499;9014;1290;1649;31849;445,65;0,347
TS214F;Kerkenah;TS214;Sfax;TS21;Centre-est;TS2;Centre;0;14400;14400;7497;1311;1396;14465;159,7;0,379
